"sample_id","condition","patient_id","cells_before","cells_after","pct_retained","median_nFeature","median_nCount","median_pct_mt"
"HP1","normal","HP1",7208,6830,94.8,386,858,0
"HP2","normal","HP2",4421,4184,94.6,661,1906,0
"HP3","normal","HP3",6183,5918,95.7,793,2514,0
"HP4","normal","HP4",3726,3617,97.1,781,2542,0
"HP0","normal","HP0",3283,3008,91.6,562,1308,0
"SCG-PCA21-N-LG","adjacent_LG","PCA21",7720,7514,97.3,745,1863,0
"SCG-PCA21-T-LG","tumor_LG","PCA21",3745,3638,97.1,827,2054,0
"SCG-PCA3-T-LG","tumor_LG","PCA3",3781,3600,95.2,1054,3061,0
"SCG-PCA3-N-LG","adjacent_LG","PCA3",4424,4252,96.1,922,2384,0
"SCG-PCA4-T-HG","tumor_HG","PCA4",4888,4555,93.2,755,1952,0
"SCG-PCA4-N-HG","adjacent_HG","PCA4",2452,2365,96.5,822,2265,0
"SCG-PCA5-T-LG","tumor_LG","PCA5",1939,1890,97.5,795,2012,0
"SCG-PCA5-N-LG","adjacent_LG","PCA5",2519,2346,93.1,621,1651,0
"SCG-PCA6-T-HG","tumor_HG","PCA6",2036,1888,92.7,1150,3162,0
"SCG-PCA6-N-HG","adjacent_HG","PCA6",3919,3672,93.7,984,2582,0
"SCG-PCA7-T-HG","tumor_HG","PCA7",3193,3049,95.5,881,2332,0
"SCG-PCA8-T-HG","tumor_HG","PCA8",1507,1417,94,1036,2622,0
"SCG-PCA9-T-LG","tumor_LG","PCA9",2901,2687,92.6,1145,3022,0
"SCG-PCA9-N-LG","adjacent_LG","PCA9",3888,3637,93.5,903,2438,0
"SCG-PCA10-T-LG","tumor_LG","PCA10",4469,4337,97,1464,3494,0
"SCG-PCA11-T-LG","tumor_LG","PCA11",1084,1073,99,2683,9069,0
"SCG-PCA11-N-LG","adjacent_LG","PCA11",737,670,90.9,1326,3658,0
"SCG-PCA12-T-LG","tumor_LG","PCA12",3151,3047,96.7,985,2157,0
"SCG-PCA12-N-LG","adjacent_LG","PCA12",8320,7911,95.1,807,1873,0
"SCG-PCA15-N-HG","adjacent_HG","PCA15",1681,1590,94.6,678,1542,0
"SCG-PCA15-T-HG","tumor_HG","PCA15",4048,3967,98,709,1679,0
"SCG-PCA16-T-HG","tumor_HG","PCA16",1235,1217,98.5,940,2108,0
"SCG-PCA17-N-LG","adjacent_LG","PCA17",5339,4936,92.5,754,2117,0
"SCG-PCA17-T-LG","tumor_LG","PCA17",6185,6036,97.6,902,2730,0
"SCG-PCA18-N-LG","adjacent_LG","PCA18",4382,3885,88.7,438,994,0
"SCG-PCA18-T-LG","tumor_LG","PCA18",4169,3882,93.1,517,1281,0
"SCG-PCA19-N-HG","adjacent_HG","PCA19",7418,6738,90.8,767,2236,0
"SCG-PCA19-T-HG","tumor_HG","PCA19",4042,3768,93.2,867,2631,0
"SCG-PCA20-N-LG","adjacent_LG","PCA20",7941,7552,95.1,720,2123,0
"SCG-PCA20-T-LG","tumor_LG","PCA20",6126,5827,95.1,918,2515,0
"SCG-PCA22-N-HG","adjacent_HG","PCA22",5718,5532,96.7,980,3055,0
"SCG-PCA22-T-HG","tumor_HG","PCA22",8041,7737,96.2,855,2933,0
