,B cells,Basal epithelial,CD4 T cells (Th),CD8 T cells (CTL),Endothelial cells,Epithelial cells,Fibroblasts,Mast cells,Monocytes,Myeloid (Mac/DC),NK cells,PDC/Plasma cells,Pericytes,TNK cells,Tregs,Tumor cells
B cells,0.0,0.0,0.0026616772860681534,0.0009765419527610835,0.00072821616411578,0.0,0.0017405366953284827,0.0007412594955575976,0.0,0.005511866234120333,0.0045067102774752985,0.10752472187942447,0.0016458662866704037,0.0016146173370602498,0.0022381468832592425,0.0
Basal epithelial,0.0,0.0,0.001283392808664813,0.009973991169861092,0.0021675354366843826,0.40047085757775597,0.020127346501579508,0.0,0.0,0.0013589735668684245,0.0031525894710493674,0.0,0.0017967829581937507,0.003624817729666693,0.0,0.040914979257170116
CD4 T cells (Th),0.0026616772860681534,0.001283392808664813,0.0,0.22821985463563238,0.00014038550363573227,0.0015794984848959421,0.006756867475196952,0.0006419992508647232,0.002125048046237953,0.00110402074882715,0.014848552359123496,0.010634412122901029,0.001411686361136354,0.08688358701254419,0.2801740286659635,0.10547857529225918
CD8 T cells (CTL),0.0009765419527610835,0.009973991169861092,0.22821985463563238,0.0,0.0005387531313445249,0.00216182679423305,0.006195982232219337,0.0007754203694802285,0.0016535256135348324,0.0005238307655642663,0.12577567114066776,0.015300508549262262,0.002513658461386725,0.2868712624877987,0.033793533867421816,0.06426102475885871
Endothelial cells,0.00072821616411578,0.0021675354366843826,0.00014038550363573227,0.0005387531313445249,0.0,0.00010260120719101625,0.0014445245085880417,0.0,0.0,2.9833473645933927e-05,0.00043575802281898787,0.0,0.0,0.00033181452355088737,3.2779524459309395e-05,0.0
Epithelial cells,0.0,0.40047085757775597,0.0015794984848959421,0.00216182679423305,0.00010260120719101625,0.0,0.0021253351900269273,0.0001131421772863606,0.00026941502091410753,0.00025604903033510243,0.00021371089119122535,0.00041549470588320153,0.00013702738721578603,0.0012830901409014578,4.0190547380544564e-05,0.45140105229619293
Fibroblasts,0.0017405366953284827,0.020127346501579508,0.006756867475196952,0.006195982232219337,0.0014445245085880417,0.0021253351900269273,0.0,0.0014336379392378578,0.0011379298880011552,0.0032444276130942033,0.0009026520112083475,0.0052647826672011675,0.2689320699946458,0.009384807280839158,0.0005092591896800221,0.0
Mast cells,0.0007412594955575976,0.0,0.0006419992508647232,0.0007754203694802285,0.0,0.0001131421772863606,0.0014336379392378578,0.0,0.0008480874547438402,0.0030102112781181527,7.207899325192856e-05,0.0,0.011338249075132015,0.00046441693125065124,0.0,0.0
Monocytes,0.0,0.0,0.002125048046237953,0.0016535256135348324,0.0,0.00026941502091410753,0.0011379298880011552,0.0008480874547438402,0.0,0.2582807895188077,0.0008009635756905901,0.001779686691678047,0.0039128587997284275,0.004021356949337416,0.0002582219988304175,0.0
Myeloid (Mac/DC),0.005511866234120333,0.0013589735668684245,0.00110402074882715,0.0005238307655642663,2.9833473645933927e-05,0.00025604903033510243,0.0032444276130942033,0.0030102112781181527,0.2582807895188077,0.0,0.0023768919914725728,0.037693931851047455,0.0009164031332130318,0.00234770956680622,0.0009816452280557786,0.0
NK cells,0.0045067102774752985,0.0031525894710493674,0.014848552359123496,0.12577567114066776,0.00043575802281898787,0.00021371089119122535,0.0009026520112083475,7.207899325192856e-05,0.0008009635756905901,0.0023768919914725728,0.0,0.008999711583029963,0.0016295148749985368,0.07532158406005666,0.0047111390674646056,0.0
PDC/Plasma cells,0.10752472187942447,0.0,0.010634412122901029,0.015300508549262262,0.0,0.00041549470588320153,0.0052647826672011675,0.0,0.001779686691678047,0.037693931851047455,0.008999711583029963,0.0,0.0,0.0012403558771498524,0.0035840943754112255,0.0
Pericytes,0.0016458662866704037,0.0017967829581937507,0.001411686361136354,0.002513658461386725,0.0,0.00013702738721578603,0.2689320699946458,0.011338249075132015,0.0039128587997284275,0.0009164031332130318,0.0016295148749985368,0.0,0.0,0.002727074058257138,0.0017073484400279843,0.0
TNK cells,0.0016146173370602498,0.003624817729666693,0.08688358701254419,0.2868712624877987,0.00033181452355088737,0.0012830901409014578,0.009384807280839158,0.00046441693125065124,0.004021356949337416,0.00234770956680622,0.07532158406005666,0.0012403558771498524,0.002727074058257138,0.0,0.059299552151469495,0.01086730100208743
Tregs,0.0022381468832592425,0.0,0.2801740286659635,0.033793533867421816,3.2779524459309395e-05,4.0190547380544564e-05,0.0005092591896800221,0.0,0.0002582219988304175,0.0009816452280557786,0.0047111390674646056,0.0035840943754112255,0.0017073484400279843,0.059299552151469495,0.0,0.007975065480217862
Tumor cells,0.0,0.040914979257170116,0.10547857529225918,0.06426102475885871,0.0,0.45140105229619293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01086730100208743,0.007975065480217862,0.0
