"pathway","normal","adjacent_LG","adjacent_HG","tumor_LG","tumor_HG","in_normal","gained_tumor","lost_tumor"
"MHC-I",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CLEC",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MIF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CD99",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CypA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"APP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"COLLAGEN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"LCK",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MK",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"SELE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"ANNEXIN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CXCL",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"THBS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"ESAM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"PTN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"JAM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"FN1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CALCR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"GDF",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"GAP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"OSM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CLDN",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CD86",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"LAIR1",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
