"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",2,0,2,13,3,0,1,0,2,12,4,2,1,12,1
"Basal epithelial",5,9,6,16,6,3,7,5,7,8,8,7,6,13,6
"CD4 T cells (Th)",2,1,5,18,2,0,2,0,3,4,6,2,2,14,4
"CD8 T cells (CTL)",2,0,5,18,2,0,2,0,5,6,7,2,2,14,5
"Endothelial cells",7,14,8,19,11,3,10,6,9,17,10,10,9,18,8
"Epithelial cells",4,6,5,15,5,5,7,4,6,9,7,6,4,12,4
"Fibroblasts",13,30,15,24,9,5,17,11,15,16,17,24,12,22,13
"Mast cells",2,0,3,12,5,0,2,0,3,5,4,2,2,10,2
"Monocytes",5,5,7,13,8,2,3,3,6,16,7,6,3,13,4
"Myeloid (Mac/DC)",3,4,6,14,5,2,4,4,8,24,7,5,4,12,5
"NK cells",2,1,4,17,2,1,2,0,4,6,6,3,2,14,5
"PDC/Plasma cells",2,0,3,13,1,0,2,1,3,10,5,3,1,10,2
"Pericytes",11,26,11,20,9,3,12,9,13,14,13,19,12,20,10
"TNK cells",2,0,4,17,2,0,2,0,5,9,6,2,2,14,5
"Tregs",2,0,4,15,4,0,2,0,3,5,7,2,2,14,2
