"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0.000392673300086591,0,0.00297568461993242,0.0173763997056087,0.000179897863486081,0,0.000107972252551028,0,5.16629961011234e-05,0.000688852761995678,0.00111104905385435,6.7647919255707e-05,0.000238207102904697,0.00359550135023869,7.85795837671627e-05
"Basal epithelial",0.000549278127118245,6.02938422367375e-05,0.00086946684039987,0.00403387078594575,0.000223757008668207,4.10948743799912e-05,7.13142105138275e-05,0.000154532379609905,0.000137090396103507,0.000343473551216244,0.000245306765339594,7.22426884921233e-05,0.000144171614247713,0.00104531589507686,0.000312744137730576
"CD4 T cells (Th)",0.00137287666153188,1.95285784901171e-05,0.0197984072341967,0.0728287152930818,0.00124933296934033,0,0.000693088872407839,0,0.000351753030678831,0.0010002174785589,0.00535669431905266,0.000209061329991351,0.00135799782269705,0.0144408141104657,0.00118147480064851
"CD8 T cells (CTL)",0.00126024758211113,0,0.0260973024948108,0.0650164680345813,0.00144218296290911,0,0.00068101792299176,0,0.000465416638094964,0.00100385073730365,0.00561243973209854,0.000207537348719014,0.00134492602379743,0.0125847659899754,0.00182312194632745
"Endothelial cells",0.00138619974780966,0.000141817039457535,0.00313955507595109,0.0183052854423406,0.00151417394848024,0.000113578596135578,0.00027051764171501,0.000540773920441147,0.00036762170598065,0.00123003435315171,0.00118056122826745,0.000163156135685189,0.000553561419484773,0.00432944309139715,0.000856570149726096
"Epithelial cells",0.00075646290837895,4.98679842234022e-05,0.0011128725541607,0.00437291160511689,0.000230262738899851,6.02912515565298e-05,7.92288916258354e-05,0.000109295598820561,0.000179414830874123,0.000457605967829361,0.000231834955755263,9.48013957228258e-05,0.000159387099938327,0.00122818255221641,0.000361810012578282
"Fibroblasts",0.000740942803967492,0.00018766935685146,0.0028165749127074,0.00476867307541517,0.000484114118970768,4.83123940722549e-05,0.000155696340715355,0.000639349460656262,0.000261255430880937,0.000453968875075634,0.000410417720702065,0.000115797383331592,0.000309573997797443,0.00147901722424298,0.000689942355936413
"Mast cells",0.000226848745870139,0,0.00393643616280273,0.00959833828355693,0.000349064672819934,0,0.000150327160307495,0,7.58044086237371e-05,0.000193535511396182,0.000824554351919446,3.13721215705845e-05,0.000299431985490328,0.00180436446003325,0.000261336060942331
"Monocytes",0.000135333491148434,3.23802692605357e-05,0.000531468596215971,0.00428960270087155,0.000127677883743212,2.74764176865752e-05,3.14223505709769e-05,2.79238369626841e-05,3.7428811468468e-05,0.000139420252521972,0.00022749734689966,2.14868455715986e-05,7.05372635528079e-05,0.000939979461725409,6.71518066122647e-05
"Myeloid (Mac/DC)",0.000141570668175237,4.0345400827203e-05,0.00171056386227399,0.00993039780283122,0.000162839312459209,5.91027121492102e-05,7.62646709237766e-05,7.89079484350205e-05,8.28014037861891e-05,0.000651134127390121,0.000590769428782562,3.43882795864836e-05,0.000171766763413635,0.00193576875578106,0.000163985600544562
"NK cells",0.000212628974391233,2.5796966567286e-05,0.00422497477736782,0.0117809116199407,0.000265787748610509,3.61659217697078e-05,0.000125821374659729,0,7.45639615246867e-05,0.000162684224102841,0.000978469270697593,3.87692575010971e-05,0.000248817803162536,0.00230755125889083,0.00037249923087497
"PDC/Plasma cells",0.000109637975405366,0,0.000179295470468198,0.00190295106537098,1.51127251808913e-05,0,2.33177568935534e-05,1.22025504287794e-05,2.68113945290026e-05,7.6039176417156e-05,9.43050778206057e-05,1.46562268748071e-05,2.75198798612874e-05,0.000420634612885887,5.58438509278593e-05
"Pericytes",0.000614815553930313,0.000138563005424946,0.00245108644711268,0.00927225670775406,0.000570468604409452,2.39243335990091e-05,0.000184731887297948,0.000658160678029475,0.00027086638593436,0.000401065074125394,0.000519739602789572,9.05590872363667e-05,0.00041255387683071,0.00242912648761367,0.000607785855883209
"TNK cells",0.000353514639331991,0,0.00627024651249189,0.019051583772327,0.000422073683321587,0,0.000197784349685391,0,0.000133046143504325,0.000351965335198064,0.00149623006295467,5.8811347849228e-05,0.000390103983356152,0.00377377437286986,0.000653249653833993
"Tregs",0.000327704795589533,0,0.00351536511088108,0.0155127671849123,0.000371850924382049,0,0.000166918099535485,0,8.77557651114008e-05,0.000210279169795498,0.0011511826184494,5.58537868398285e-05,0.000333217140103207,0.00335923063276846,9.43238268625838e-05
