"pathway","cell_type","outdegree","indegree","flowbet","info"
"MHC-I","B cells",0.0212486838122317,0,0,0
"MHC-I","Basal epithelial",0.00417089735952064,0,0,0
"MHC-I","CD4 T cells (Th)",0.0783772447426859,0,0,0
"MHC-I","CD8 T cells (CTL)",0.0675206318621738,0.235657604996381,0.124057821015673,0.148383071814118
"MHC-I","Endothelial cells",0.020290126870584,0,0,0.103490345161842
"MHC-I","Epithelial cells",0.00430098711749582,0,0,0.0510584700983328
"MHC-I","Fibroblasts",0.00369836591660223,0,0,0.0463377937780993
"MHC-I","Mast cells",0.010415447889096,0,0,0.0811294010165525
"MHC-I","Monocytes",0.00510580309018635,0,0,0.0562000169131879
"MHC-I","Myeloid (Mac/DC)",0.0115206451146071,0,0,0.0846009843621368
"MHC-I","NK cells",0.0125105916793739,0.00865443709720349,0.0174429355868339,0.0939005486952926
"MHC-I","PDC/Plasma cells",0.00217383789364234,0,0,0.0336628931339669
"MHC-I","Pericytes",0.00967069100943334,0,0,0.0796968933860618
"MHC-I","TNK cells",0.0203494835558299,0.0453850981613609,0.0391481182697517,0.11453617581706
"MHC-I","Tregs",0.0183437023414819,0,0,0.107003405823349
"CLEC","B cells",0.00323793415983004,0,0,0
"CLEC","Basal epithelial",0,0,0,0
"CLEC","CD4 T cells (Th)",0.0266849445540982,0.0614706836569299,0.0453796525460799,0.180767052438812
"CLEC","CD8 T cells (CTL)",0.0311535872147165,0.0129338910682802,0.018537608667072,0.172598178459742
"CLEC","Endothelial cells",0.000729781545854687,0,0,0.0452983984963506
"CLEC","Epithelial cells",0,0,0,0
"CLEC","Fibroblasts",0,0,0,0
"CLEC","Mast cells",0.00533127258812313,0,0,0.123226481149922
"CLEC","Monocytes",0.000171988474277409,0,0,0.0232703924209416
"CLEC","Myeloid (Mac/DC)",0.00139022110559159,0,0,0.066930384253101
"CLEC","NK cells",0.00506177254140687,0.00779434327839889,0.00930020092673949,0.133289249679997
"CLEC","PDC/Plasma cells",0,0,0,0
"CLEC","Pericytes",0,0,0,0
"CLEC","TNK cells",0.00736852602779293,0,0,0.138488051011401
