"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",2,1,1,12,2,0,2,1,4,3,4,2,2,11,2
"Basal epithelial",4,5,4,15,6,1,5,3,7,5,6,5,5,4,4
"CD4 T cells (Th)",2,1,2,17,2,0,2,1,5,3,5,3,2,14,3
"CD8 T cells (CTL)",3,2,3,17,3,1,2,2,6,4,5,4,3,14,6
"Endothelial cells",7,6,6,17,8,2,9,6,9,7,8,8,10,15,7
"Epithelial cells",2,2,2,6,3,1,3,2,5,3,5,3,3,3,2
"Fibroblasts",14,12,11,22,8,3,18,12,16,13,14,15,19,15,13
"Mast cells",2,1,1,13,5,0,2,1,5,3,4,3,2,4,3
"Monocytes",5,4,3,13,6,0,3,1,7,7,6,5,3,12,4
"Myeloid (Mac/DC)",2,1,1,11,5,0,1,0,4,4,3,2,1,10,2
"NK cells",3,1,3,17,2,1,2,2,6,4,5,5,2,14,6
"PDC/Plasma cells",3,2,1,13,4,1,3,2,5,4,4,3,3,9,3
"Pericytes",12,11,9,20,9,2,12,10,14,11,12,13,20,18,11
"TNK cells",3,1,3,17,2,1,2,2,5,3,5,4,2,14,5
"Tregs",2,1,3,16,2,0,2,1,4,3,6,3,2,14,3
