"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0.000382219762022192,1.69131793719853e-05,0.00164664922308428,0.023858147672235,8.27888501337971e-05,0,3.10374584401503e-05,3.31881005701787e-05,0.000106278606096097,0.000148066996089205,0.000913966521166174,1.78290494440479e-05,0.000163959089605079,0.00271481367474824,0.000188571970351326
"Basal epithelial",0.000219133605511262,7.28557913873348e-06,0.000194803627378035,0.00218669406527681,5.17915907756987e-05,2.93879536821598e-06,6.30610284347351e-06,2.07324491415943e-05,5.22112839887341e-05,8.11922798740007e-05,6.42511060079817e-05,1.1093878973429e-05,4.08101610309676e-05,0.000177524500210206,0.000100239784687484
"CD4 T cells (Th)",0.00114697037849909,4.56236685178515e-05,0.00796493016317536,0.0779961780479414,0.000259515084165594,0,9.25584949388147e-05,9.99869370337918e-05,0.000392525937553828,0.00043873812209619,0.00355137281208318,6.46942706900768e-05,0.00048256084599969,0.00846558349140769,0.00116394478655685
"CD8 T cells (CTL)",0.00215394363894101,8.56376754827577e-05,0.0146104138154095,0.128042440065597,0.000801346124880648,0.000249894211099657,0.000227145581239808,0.000407827888708889,0.00073192776578016,0.000719316394262198,0.00622898204936087,0.000163458597847479,0.0011679204795645,0.0144465673562757,0.00249440513975258
"Endothelial cells",0.000641407022928722,2.31102110219077e-05,0.00055120290341448,0.0118046380298973,0.000248325248825783,5.36070864614088e-05,3.1698604850749e-05,0.000112408861518983,0.000146265759160995,0.00023469475638562,0.000393491951044423,3.66032310595015e-05,0.000176304424972688,0.0016219703955588,0.000284973546200971
"Epithelial cells",0.0010693579114312,3.06239744523596e-05,0.00109869053756391,0.00227127860813602,0.000176965041381787,6.76506115642979e-05,3.24148719110884e-05,0.00015870894609717,0.00026693061446571,0.000381732983896717,0.00030125953018287,5.36302576210617e-05,0.000172089173369125,0.0010446823093751,0.000554112323491812
"Fibroblasts",0.00015542591534664,1.53481167504584e-05,0.00029846215125885,0.00181348672214887,5.31507707635418e-05,8.99246449144234e-06,1.16411262462055e-05,0.000116176680846714,5.83788957999544e-05,4.71128440528251e-05,9.59705473766945e-05,8.08161127795816e-06,0.00010468060412057,0.000320280933528326,0.000162663587772596
"Mast cells",0.0002087342555983,8.60297399503209e-06,0.00160004113415075,0.00929657266886627,6.74898293504634e-05,0,1.72656010969666e-05,1.81490028625976e-05,7.59163986602921e-05,8.01619824312203e-05,0.000606204260997964,1.1852689939084e-05,9.01340455246278e-05,0.000379666286009835,0.000249151850559321
"Monocytes",0.000114497200877088,1.20543886213171e-05,0.000154271192069738,0.00562629845621448,3.57697034197564e-05,0,6.84336702722954e-06,1.12905187658837e-05,3.19297188480808e-05,3.80723267915681e-05,0.000146617792486571,3.70107598648508e-06,3.90769245605108e-05,0.000651464416814485,5.44549296535235e-05
"Myeloid (Mac/DC)",0.000106215696335115,7.3769984515444e-06,0.000144972434309524,0.00783664247472986,3.94539796330234e-05,0,9.38111818029573e-06,0,2.21353400102716e-05,4.62521717226848e-05,0.000172065790661987,2.40333850593589e-06,5.268232419605e-05,0.000847828384527447,2.87446186680562e-05
"NK cells",0.00029421103876134,1.04794426577707e-05,0.00176501533406059,0.0185903429217156,0.000106409654286631,3.54143955914633e-05,3.24809312412371e-05,5.68120033182318e-05,8.31684984883059e-05,9.62945428340834e-05,0.000820716363961342,2.33495679017653e-05,0.000162875234725489,0.00210571152577152,0.000312572937158563
"PDC/Plasma cells",3.3713211356587e-05,1.44788459666069e-06,3.88035610660343e-06,0.00121157114498737,1.41842248931123e-05,7.94344447487495e-07,3.20162793020547e-06,2.48710836567217e-06,8.91592687250022e-06,1.35733211934785e-05,2.42084360981126e-05,1.65420788612657e-06,1.61984565107883e-05,0.00012291324531743,1.35387986674111e-05
"Pericytes",0.000516539447948137,3.5022779263246e-05,0.000617243571253296,0.0101898897529557,0.000176286521079889,3.66310267252489e-05,3.68507825639433e-05,0.000299773703080337,0.000183927291582465,0.000167609129257361,0.000315374646518543,2.98696076350965e-05,0.000314075316089998,0.00163147370834382,0.000448698681468505
"TNK cells",0.000605692187492286,1.92328129689084e-05,0.0036497297416359,0.0358875768782451,0.000205532254132748,6.97551462391716e-05,6.20888453895248e-05,0.00011431456299933,0.000181740440912662,0.000190512378413602,0.00161546283255825,4.55539622536579e-05,0.000310475094464161,0.0041088274725062,0.000631654146909221
"Tregs",0.00033329845502272,1.29869878961472e-05,0.00173424224739822,0.021486150716749,6.98835808279981e-05,0,2.53485363816431e-05,2.9105879563786e-05,9.14569761806783e-05,0.000127209335744573,0.000864885765989443,1.87288153883256e-05,0.000132804613653112,0.00246525718003046,0.00018855084687188
