"pathway","cell_type","outdegree","indegree","flowbet","info"
"MHC-I","B cells",0.0259786415820394,0,0,0
"MHC-I","Basal epithelial",0.00186259324721057,0,0,0
"MHC-I","CD4 T cells (Th)",0.0784319360317853,0,0,0
"MHC-I","CD8 T cells (CTL)",0.124883385284041,0.319723267019669,0.112561670812763,0.126025024806418
"MHC-I","Endothelial cells",0.0119258681663344,0,0,0.097254588734443
"MHC-I","Epithelial cells",0.000196140646155813,0,0,0.0156429506419874
"MHC-I","Fibroblasts",0.0013045005507906,0,0,0.0378016463446258
"MHC-I","Mast cells",0.00826107945098726,0,0,0.0904577306045747
"MHC-I","Monocytes",0.00610853915677672,0,0,0.0802245920121051
"MHC-I","Myeloid (Mac/DC)",0.00867112187163076,0,0,0.0897351060960216
"MHC-I","NK cells",0.0184707294451714,0.00490568958579989,0.010307551250683,0.106972163857125
"MHC-I","PDC/Plasma cells",0.00123141907266649,0,0,0.0357775298265139
"MHC-I","Pericytes",0.00965333295318371,0,0,0.0929634652063551
"MHC-I","TNK cells",0.0353754526222814,0.0305275967532231,0.0206697229229995,0.11653895326226
"MHC-I","Tregs",0.022801813277637,0,0,0.110606248607571
"CLEC","B cells",0.00212460325078717,0,0,0
"CLEC","Basal epithelial",0,0,0,0
"CLEC","CD4 T cells (Th)",0.0153928015810135,0.0314046410698621,0.0258232637233912,0.17108845501732
"CLEC","CD8 T cells (CTL)",0.0257795358936004,0.0161209918470839,0.0174666374116477,0.170349766775888
"CLEC","Endothelial cells",0.000324472183308362,0,0,0.0466674351529084
"CLEC","Epithelial cells",0,0,0,0
"CLEC","Fibroblasts",0,0,0,0
"CLEC","Mast cells",0.0031438541906608,0,0,0.130176060906912
"CLEC","Monocytes",0.000106863975317876,0,0,0.0253937319043379
"CLEC","Myeloid (Mac/DC)",0.000188498305391262,0,0,0.0320816558090485
"CLEC","NK cells",0.00303915871964072,0.00898353756597748,0.00848112836965645,0.144879176588799
"CLEC","PDC/Plasma cells",0,0,0,0
"CLEC","Pericytes",0,0,0,0
"CLEC","TNK cells",0.00634323232009475,0,0,0.151428909516034
"CLEC","Tregs",0.00242132712565369,0.002355177062545,0.00403913024807036,0.127934808328752
"CD99","B cells",0.000633921356550595,0.000628436037024608,0.00147335859456517,0.0771934321046322
"CD99","Basal epithelial",9.62019850382182e-07,0,0,0
"CD99","CD4 T cells (Th)",0.00231786073468456,0.00229770912576096,0.00440769043654427,0.0964547228139971
"CD99","CD8 T cells (CTL)",0.0119965869000657,0.0119133025865783,0.0342649431734882,0.106324026424709
"CD99","Endothelial cells",0.00119316554471045,0.00118488018444792,0.00383208832272741,0.0888728689552401
"CD99","Epithelial cells",0.000417557682311266,0.000413947617703913,0.000970521989147802,0.0677267775969795
"CD99","Fibroblasts",0.000291410799267596,0.000289357160838396,0.00107791119647892,0.0589529529166355
"CD99","Mast cells",0.000422730119608236,0.000419059719610213,0.000982365198641834,0.068022574497243
"CD99","Monocytes",1.09421923942542e-06,0.000180701082131445,0,0.0230278271849809
"CD99","Myeloid (Mac/DC)",3.43407502760799e-05,3.26523195490288e-05,1.85727379975615e-05,0.0177038998180197
"CD99","NK cells",0.00169887007505885,0.00168706735391778,0.00523911784223759,0.0938670878488642
"CD99","PDC/Plasma cells",0.000105113483585795,0.000104180483613293,0.000248043239166449,0.0343859394494627
"CD99","Pericytes",0.00133468054758552,0.00132539561023654,0.00423124538542525,0.09074913850754
"CD99","TNK cells",0.00337331748739515,0.00335007043189793,0.0103178707516198,0.100593792257542
"CD99","Tregs",0.000592866664115281,0.000587718670994619,0.00137773440872586,0.0761249596241546
"MIF","B cells",0.00116906142395657,0.00640130377437568,0.00768997015393812,0.0956792855415453
"MIF","Basal epithelial",0.000973779695394241,1.45374589411198e-05,0.000157360646269535,0.0459130525300979
"MIF","CD4 T cells (Th)",0.00352427336880589,0.0012633454536457,0.00445123568996424,0.0872250484099415
"MIF","CD8 T cells (CTL)",0.00545369715122692,0.00181553084770976,0.00667587293050083,0.0897154788467769
"MIF","Endothelial cells",0.000520145937088728,0.000125730180534101,0.000524036398759069,0.0558565824578639
"MIF","Epithelial cells",0.00655015498958666,6.76506115642979e-05,0,0.0902834358085636
"MIF","Fibroblasts",9.75736901148128e-05,5.88336675436268e-06,3.36278960742812e-05,0.0146108647401825
"MIF","Mast cells",0.000640948786900882,0.000609043982467864,0.0032327732572326,0.0614179267253171
"MIF","Monocytes",0.000171271549451878,0.00140065830151762,0.00171630817828251,0.0628647649502265
"MIF","Myeloid (Mac/DC)",0.000267464239041891,0.00216778362624265,0.00235205728132969,0.0725770743829381
"MIF","NK cells",0.000738803683452537,0.000268835119384848,0.000939180041275853,0.0645674113287094
"MIF","PDC/Plasma cells",6.46994385164836e-05,0.000278760851507924,0.000541002719097249,0.0286865330530311
"MIF","Pericytes",0.000562457678669087,3.41777837082242e-05,0.000203918465083676,0.059398533788182
"MIF","TNK cells",0.0015370155695574,0.00570096960056159,0.00905475781303415,0.0886017349199509
"MIF","Tregs",0.00102457250692795,0.00314170874977621,0.00597310869913047,0.0826022725166732
"LCK","B cells",0,0,0,0
"LCK","Basal epithelial",0,0,0,0
"LCK","CD4 T cells (Th)",0.00134414915067746,0,0,0
"LCK","CD8 T cells (CTL)",0.0022904168930854,0.00451100822465777,0.000627052884870312,0.518178915508019
"LCK","Endothelial cells",0,0,0,0
"LCK","Epithelial cells",0,0,0,0
"LCK","Fibroblasts",0,0,0,0
