"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",2,0,1,9,1,1,1,0,2,3,4,1,1,10,1
"Basal epithelial",3,2,3,11,2,2,4,2,4,4,6,3,2,11,4
"CD4 T cells (Th)",2,0,2,14,2,1,2,0,3,3,6,1,2,14,3
"CD8 T cells (CTL)",2,0,3,12,2,1,2,0,3,3,6,1,2,12,2
"Endothelial cells",5,3,5,13,7,4,6,4,6,6,8,5,4,14,7
"Epithelial cells",4,2,4,12,5,4,5,1,5,5,8,3,2,13,4
"Fibroblasts",13,4,11,19,5,12,9,8,12,13,15,6,4,21,12
"Mast cells",2,0,1,9,2,1,1,0,3,3,4,1,1,10,2
"Monocytes",3,2,1,9,3,3,1,1,3,3,5,3,1,10,2
"Myeloid (Mac/DC)",2,1,1,9,2,1,1,1,3,3,4,3,1,10,3
"NK cells",2,1,3,11,2,2,2,0,4,3,6,1,2,11,4
"PDC/Plasma cells",2,0,0,8,2,1,1,0,2,3,3,1,1,10,1
"Pericytes",5,2,4,12,4,4,3,3,6,6,7,3,3,14,6
"TNK cells",2,1,3,14,2,2,2,1,4,3,6,1,2,14,4
"Tregs",2,1,2,12,2,1,1,1,2,3,6,2,1,14,3
