"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0.000255943382381109,0,0.00133694808492946,0.00622152203496713,0.000180615750591008,6.38606399191643e-05,3.29552683241741e-05,0,6.08004255692996e-05,0.000207282017889752,0.0004782873117239,1.39872840055707e-05,9.23694805421113e-05,0.00227240175895525,4.19688018964043e-05
"Basal epithelial",0.000276994689226209,1.77357237896424e-05,0.00038312358543064,0.0012113445208518,9.83037752793244e-05,3.40898728134185e-05,1.77954295515349e-05,1.72400713211106e-05,0.000120672307417733,0.00021813421851119,0.00010510424698421,1.95849825661895e-05,4.9189592955453e-05,0.000610499890316147,0.00014806268172315
"CD4 T cells (Th)",0.00115370359825907,0,0.00805368189858956,0.028248559318966,0.00136114058686157,0.000238315987280573,0.000171302050160107,0,0.000463756226562997,0.000942867572366961,0.00272662069698905,6.31145579286003e-05,0.000612070481822152,0.0103443996897115,0.000748131435860701
"CD8 T cells (CTL)",0.00103511396917294,0,0.0081544584302094,0.0253130785077531,0.00134014352030152,0.000220382120288493,0.000164066928697136,0,0.000328686048263295,0.000854999009824909,0.00248101570739121,5.66206611242746e-05,0.000597882872772123,0.00926479209544819,0.000448564649552688
"Endothelial cells",0.00164045206792551,0.000108656148019676,0.00213714048384812,0.0117312527267448,0.00285480311143335,0.000324874510885069,0.000143812878947211,0.000210808660261722,0.000793823765883664,0.00157730990973188,0.00112594222589296,0.000154135804902751,0.000566433885701215,0.00566781930775189,0.000805674295022927
"Epithelial cells",0.000684087497530573,1.69397155150968e-05,0.000901754527977437,0.00257016400062387,0.000442544524817146,8.12264485113048e-05,3.10402842409389e-05,1.39769998922167e-05,0.000282549476602387,0.000563841017259354,0.000237286882888495,4.19317582040141e-05,7.95031942491605e-05,0.00139922953056687,0.000294511393356578
"Fibroblasts",0.000131951017094461,4.68232425008609e-06,0.000302784002435118,0.000664912025094727,0.000136980135507346,3.28832293639805e-05,1.02008320808875e-05,5.49811038241014e-05,9.45416807265011e-05,0.000107995728894061,7.26937340424044e-05,6.47686643097427e-06,4.01721952420102e-05,0.000421567930638479,0.000103412462645236
"Mast cells",9.18764229168636e-05,0,0.000881761748260638,0.00180074604318931,0.00012238721470825,2.22042548584254e-05,1.1488317031448e-05,0,4.48045170048491e-05,7.53643680587321e-05,0.000225964503316386,5.02055113864199e-06,3.21234381303396e-05,0.000583490113829585,4.97766923664268e-05
"Monocytes",0.000187105149900963,3.42737571653082e-05,0.000175577921514741,0.00269118632935604,0.000156387103745661,9.19043908138558e-05,2.09482743379421e-05,1.93624726481275e-05,4.22438433643157e-05,0.000116601678215919,0.000176338546822415,1.59109688876277e-05,5.93100277144496e-05,0.00107804943719594,5.46997493499005e-05
"Myeloid (Mac/DC)",0.000229228477234066,3.66192897755365e-05,0.000396995322880572,0.00464657613454815,0.000230416142393214,7.42589894290037e-05,3.77865176937547e-05,3.50485095966139e-05,6.86284101285484e-05,0.000185938273035028,0.000286118938884902,2.37628015795907e-05,0.000107287869093452,0.00182700398616071,0.000104028418652203
"NK cells",0.000199751332511173,1.86839931111001e-05,0.00177420560970211,0.0045066749574268,0.000404568059981231,7.06723227636921e-05,4.03887741405113e-05,0,0.000112177377046789,0.000180737286209096,0.000522308099370425,1.09365479253355e-05,0.000171619651907649,0.00171901319798452,0.000145814125027811
"PDC/Plasma cells",2.76831909772264e-05,0,0,0.000506495523947823,3.71933529362531e-05,6.81094991123772e-06,3.50537681262869e-06,0,6.7895766394641e-06,2.27251847655656e-05,2.2042698581605e-05,1.51338143271408e-06,9.8493875775097e-06,0.000208141592753907,4.54680098459408e-06
"Pericytes",0.000476546870489592,3.58127729524393e-05,0.00050014455299452,0.00301168698024531,0.000782988037619036,9.19915456328549e-05,5.61752940656859e-05,8.31775875198669e-05,0.000256894649158563,0.000442149880841678,0.000253248519267177,3.78101023142923e-05,0.000225631304647089,0.00167523262746918,0.000266377463246926
"TNK cells",0.000430895033647144,4.02954171462899e-05,0.00382020438751728,0.0114371504197156,0.000900892027621661,0.000155602764463616,8.91703289178563e-05,4.62791318989356e-05,0.000244654955764152,0.00039245183350367,0.00121149454079311,2.35869605622332e-05,0.000381329706673331,0.00432865163243951,0.000369973531710219
"Tregs",0.000203430479383507,2.564880890901e-05,0.00101201413399799,0.00497176759679495,0.000249309665594647,5.20176389074801e-05,2.64941011170787e-05,2.45480465301081e-05,4.81064602289675e-05,0.000164549139947361,0.000422718250104561,1.83707059735891e-05,7.51598039136181e-05,0.00192674948044744,0.000127479321790512
