"pathway","cell_type","outdegree","indegree","flowbet","info"
"MHC-I","B cells",0.00785429719487434,0,0,0
"MHC-I","Basal epithelial",0.00124390418286138,0,0,0
"MHC-I","CD4 T cells (Th)",0.0332558636160898,0,0,0
"MHC-I","CD8 T cells (CTL)",0.0293360040597825,0.0930337165344636,0.0529494466295977,0.138447926224136
"MHC-I","Endothelial cells",0.0142208736642931,0,0,0.114402920590182
"MHC-I","Epithelial cells",0.00252230891756776,0,0,0.0654234137785181
"MHC-I","Fibroblasts",0.000545261524166222,0,0,0.0262306063831381
"MHC-I","Mast cells",0.00196560056064372,0,0,0.0569066094694887
"MHC-I","Monocytes",0.0036305589548103,0,0,0.0771306444739339
"MHC-I","Myeloid (Mac/DC)",0.00622769473449546,0,0,0.0941371175125634
"MHC-I","NK cells",0.00500727428412569,0.00308765075238819,0.00610009288373532,0.0930308833574561
"MHC-I","PDC/Plasma cells",0.000702575809821596,0,0,0.0310467361348331
"MHC-I","Pericytes",0.0035009089059844,0,0,0.076837646104447
"MHC-I","TNK cells",0.0129505978685182,0.0331467625451501,0.0261204185537885,0.122792961225802
"MHC-I","Tregs",0.00630440555396751,0,0,0.103612534745501
"CLEC","B cells",0.00213894303422197,0,0,0
"CLEC","Basal epithelial",0,0,0,0
"CLEC","CD4 T cells (Th)",0.0131546765111488,0.024976901179824,0.0189424555080324,0.194568846734518
"CLEC","CD8 T cells (CTL)",0.0121774848311277,0.0105076822095311,0.00849369224150704,0.183637023053011
"CLEC","Endothelial cells",0.00109994123938522,0,0,0.0742852130052006
"CLEC","Epithelial cells",0,0,0,0
"CLEC","Fibroblasts",0,0,0,0
"CLEC","Mast cells",0.00145994165475643,0,0,0.0860334915036918
"CLEC","Monocytes",0.000278453555117832,0,0,0.0325951839687584
"CLEC","Myeloid (Mac/DC)",0.000630151216715431,0,0,0.0529727016832701
"CLEC","NK cells",0.00248460400307828,0.00447063134218562,0.00501009821964409,0.130589252358389
"CLEC","PDC/Plasma cells",0,0,0,0
"CLEC","Pericytes",0,0,0,0
"CLEC","TNK cells",0.00538585961873792,0,0,0.149506783346111
