"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",2,1,3,14,3,1,1,0,3,12,4,10,1,12,1
"Basal epithelial",5,10,6,16,7,5,9,5,7,9,8,6,7,13,6
"CD4 T cells (Th)",3,0,4,17,3,0,2,0,4,3,5,1,2,14,1
"CD8 T cells (CTL)",2,0,6,18,2,1,2,1,4,4,6,2,2,14,4
"Endothelial cells",7,14,10,22,10,8,11,8,9,16,12,14,9,18,8
"Epithelial cells",4,6,6,17,6,7,9,3,6,9,8,7,6,13,5
"Fibroblasts",12,28,14,25,7,16,17,10,15,17,16,18,12,22,11
"Mast cells",1,0,3,13,5,1,2,0,3,4,5,1,2,11,1
"Monocytes",4,6,5,14,7,4,4,2,6,15,7,15,3,12,2
"Myeloid (Mac/DC)",3,3,6,15,2,2,3,3,5,18,6,14,3,12,6
"NK cells",3,0,6,19,2,3,2,1,5,4,6,3,2,16,4
"PDC/Plasma cells",4,2,6,14,6,2,4,2,4,14,7,13,2,11,5
"Pericytes",11,27,13,23,9,15,15,12,12,14,15,11,15,20,12
"TNK cells",2,0,5,17,2,1,2,1,4,7,6,5,2,14,3
"Tregs",2,0,5,16,3,0,1,0,3,6,5,4,1,13,3
