"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0.000263997647890765,2.44341741784401e-05,0.00187154203220832,0.0108832377773213,0.00013383937353751,5.41398442766407e-05,9.80800239479701e-05,0,9.22847719149521e-05,0.000960872347460464,0.000594365829856243,8.77401965588039e-05,0.000259419275324774,0.00178422733922232,9.57170266983726e-05
"Basal epithelial",0.000258464815902875,2.64481942592186e-05,0.000659634003918903,0.00174307114915956,0.000129300116484974,4.13975377733891e-05,7.67652398440631e-05,7.14603835683315e-05,9.47648504293093e-05,0.000350911634408358,0.000133315655574786,2.22549103039741e-05,0.000109415733632519,0.00042766066709816,0.000253139260134872
"CD4 T cells (Th)",0.00114473442638118,0,0.0108910800245915,0.0503485016965793,0.000791486065639901,0,0.000638357670329625,0,0.00053146472708201,0.00129763329294916,0.00318134923502669,6.54015043383264e-05,0.00146808940676191,0.00838373012048048,0.000392607590427597
"CD8 T cells (CTL)",0.00106122695617588,0,0.0180792260298253,0.0515143595933592,0.00109623029321386,0.000380194626113946,0.000686547895037281,0.000527616048186161,0.000530420884812601,0.00136661102478939,0.00404703188879735,6.90677975838708e-05,0.00156062160322708,0.00835631232108229,0.00120723388768686
"Endothelial cells",0.00117882378163591,7.76602594078758e-05,0.00362028661881823,0.0119931589285435,0.000969273026115788,0.000282532991107829,0.000294940216098037,0.00048393747866351,0.000445122730740613,0.00198753749482601,0.000869900389654224,0.000130223675652079,0.00056971803433791,0.00266725175841543,0.00105340721958417
"Epithelial cells",0.000553712781612871,5.23869747139611e-05,0.00137572597226441,0.00463837092181797,0.000357408500252623,0.000144006468171621,0.000171158417279224,8.8483661903256e-05,0.000189942002376173,0.00070754948033509,0.000327255360444759,4.93081091851161e-05,0.00029841817367832,0.00110886954908259,0.000464257147728745
"Fibroblasts",0.00055776653717983,0.000161821485898607,0.00275038994644658,0.00372380617410256,0.000381769325786965,0.000220891677150342,0.000208389091399674,0.000501454964418872,0.000292585613397309,0.000634724422799672,0.000345252249866385,5.52159647628026e-05,0.0003731928539844,0.00117469570206577,0.000807760398741979
"Mast cells",0.000131687745095683,0,0.0023195513748164,0.0068456115321621,0.000238384913203066,4.04989032317164e-05,0.000138612108030147,0,7.73233037498492e-05,0.000273714409214332,0.000618529154097999,1.09748932659655e-05,0.000323059554060051,0.00113255428055838,0.000126873394553212
"Monocytes",7.73394066982346e-05,1.76884381348951e-05,0.000331326669788939,0.00343815771751099,6.63393909768089e-05,3.75292536104885e-05,4.04624596346956e-05,2.50264159344342e-05,4.02923371297956e-05,0.000252966816696866,0.000147375994954252,2.61441484370631e-05,0.000102135312143148,0.000625058306981741,6.6069677671709e-05
"Myeloid (Mac/DC)",0.000261884320111376,4.21468783618145e-05,0.00165291713533571,0.0127314945076637,0.000143775372281705,0.00010276836806501,0.000143255062004735,0.000181465393387064,0.000125199826561153,0.00175345575191722,0.000568381178999894,0.000165589826858877,0.000380755093155164,0.00225829151762164,0.000555889800010219
"NK cells",0.000192728877945559,0,0.00276855304013621,0.00850812671674666,0.000180200471177967,9.33112408397322e-05,0.000113799994818918,8.53161363020053e-05,8.75484722614944e-05,0.000233465693073419,0.000639039430351381,1.27158726383087e-05,0.00025996364082076,0.00142793296578273,0.000211593200401823
"PDC/Plasma cells",8.46961591935574e-05,3.18679465083731e-06,0.000212718134144562,0.00102942670496624,2.78283698875117e-05,8.88925685266306e-06,2.22626578066449e-05,9.58634287027194e-06,2.81241621900994e-05,0.000140781158551801,5.56976702252989e-05,1.10736593231117e-05,2.98912153016139e-05,0.000208839164873229,7.84218353512232e-05
"Pericytes",0.00102624708869806,0.000148644837090405,0.00451002943678585,0.00914898192484002,0.000585081972883896,0.000279666266884017,0.000300048510517701,0.000862531338807807,0.000529206296191127,0.00128922894864408,0.000687035755632992,8.49430217608875e-05,0.000612068041778064,0.00248942872212819,0.00143284362001608
"TNK cells",0.000305581356012278,0,0.00417225230307145,0.0145368911504768,0.00031385919660767,0.00010934049909795,0.000195760331795968,0.000151773820480266,0.000149435620675098,0.000475690284249577,0.00103541925006634,2.86339722946078e-05,0.000445018338161,0.00243511934777361,0.000331968033037989
"Tregs",0.000366147009128817,0,0.00287627798646929,0.015771706018991,0.000147502975164011,0,0.000102489110042772,0,0.000128553754518579,0.000444185334012049,0.00078795168906655,2.70262904860751e-05,0.000270797189513048,0.00260160325231943,0.000334440746694819
