"pathway","cell_type","outdegree","indegree","flowbet","info"
"MHC-I","B cells",0.0119396988945904,0,0,0
"MHC-I","Basal epithelial",0.00157744854087019,0,0,0
"MHC-I","CD4 T cells (Th)",0.0503183477050097,0,0,0
"MHC-I","CD8 T cells (CTL)",0.0489038890843862,0.172032878190876,0.0779249276694043,0.14397491447966
"MHC-I","Endothelial cells",0.0114605128491225,0,0,0.0953829485085168
"MHC-I","Epithelial cells",0.00398433089559122,0,0,0.0598246127294727
"MHC-I","Fibroblasts",0.00226883723639828,0,0,0.0428096267427779
"MHC-I","Mast cells",0.00629884765912887,0,0,0.0754166686390529
"MHC-I","Monocytes",0.00382948859166719,3.72110547646628e-06,2.05164034321487e-05,0.0584391175593722
"MHC-I","Myeloid (Mac/DC)",0.013919449105234,0,0,0.101381527491982
"MHC-I","NK cells",0.00841291343056997,0.00444297743651453,0.0103051627528596,0.090237935082937
"MHC-I","PDC/Plasma cells",0.00107835430796282,0,0,0.0269004632585115
"MHC-I","Pericytes",0.0075502716766725,0,0,0.0824781333946318
"MHC-I","TNK cells",0.0142392498998027,0.0264005913163318,0.0220138655014711,0.111432577988281
"MHC-I","Tregs",0.0170985281721921,0,0,0.111721474124804
"CLEC","B cells",0.00225550442517422,0,0,0
"CLEC","Basal epithelial",0,0,0,0
"CLEC","CD4 T cells (Th)",0.0141351097804958,0.0338771250771647,0.0228527751810831,0.148433737487514
"CLEC","CD8 T cells (CTL)",0.0215462480119091,0.0129636771263464,0.0150328775583275,0.147167517522832
"CLEC","Endothelial cells",0.00047822633565244,0,0,0.0633053502515407
"CLEC","Epithelial cells",0,0,0,0
"CLEC","Fibroblasts",0,0,0,0
"CLEC","Mast cells",0.00331536732395362,0,0,0.123439781051329
"CLEC","Monocytes",0.000174734896504838,0,0,0.0332122358293641
"CLEC","Myeloid (Mac/DC)",0.00073566113897686,0,0,0.0788168398746946
"CLEC","NK cells",0.00294690470833618,0.00616655328432064,0.0064262378325536,0.129654879138817
"CLEC","PDC/Plasma cells",1.81574824109856e-05,0,0,0.0172152708794906
"CLEC","Pericytes",0,0,0,0
"CLEC","TNK cells",0.0045787185128848,0,0,0.13173126969025
"CLEC","Tregs",0.0033996589152432,0.000576936043710245,0.00169666989710834,0.127023118274168
"MIF","B cells",0.00120233977103265,0.00572086020339263,0.0114664885745403,0.0937069240318972
"MIF","Basal epithelial",0.00157101399743951,0,0,0.01959591710694
"MIF","CD4 T cells (Th)",0.00493100470510623,0.00900364489490768,0.0327250556261967,0.0976059478782049
"MIF","CD8 T cells (CTL)",0.00535014917116904,0.0027176751529235,0.0174608107880713,0.0873868882480234
"MIF","Endothelial cells",0.00416787723545312,0,0,0.0755291061138851
"MIF","Epithelial cells",0.00346477986235148,0,0,0.0718515496810114
"MIF","Fibroblasts",0.0022148819145619,7.80798892117009e-05,0.000810779690657217,0.0625887218575711
"MIF","Mast cells",0.000748507373130826,0.000272172282953666,0.00168671681271393,0.0336360127913819
"MIF","Monocytes",0.000223446965428284,0.00184663968782913,0.00372124012003239,0.0452452535554373
"MIF","Myeloid (Mac/DC)",0.00123534341094526,0.00595699755648651,0.0118434466833276,0.0781017703513831
