"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0,0,2,12,0,1,1,0,0,8,3,8,1,8,0
"Basal epithelial",4,11,5,15,6,6,7,1,6,11,9,9,6,9,4
"CD4 T cells (Th)",2,0,3,17,2,1,2,0,4,3,5,1,2,14,2
"CD8 T cells (CTL)",2,2,5,18,3,2,3,0,5,9,7,5,3,14,5
"Endothelial cells",7,15,8,20,11,12,10,4,9,18,11,16,12,18,6
"Epithelial cells",4,9,6,16,12,10,11,1,6,11,10,9,6,10,5
"Fibroblasts",12,31,15,24,9,23,21,8,14,19,20,18,19,21,12
"Mast cells",2,0,2,12,3,1,1,0,5,4,4,2,1,7,2
"Monocytes",5,5,6,16,8,5,4,1,8,18,9,15,3,11,3
"Myeloid (Mac/DC)",3,4,5,16,9,4,5,1,9,23,10,15,4,11,7
"NK cells",2,1,4,17,2,3,2,0,5,8,6,5,2,14,3
"PDC/Plasma cells",3,3,1,12,5,3,3,0,3,16,5,13,2,12,3
"Pericytes",12,34,14,24,13,23,20,8,14,19,17,18,24,20,11
"TNK cells",2,0,4,17,1,2,2,0,4,8,5,6,2,14,4
"Tregs",2,0,4,17,2,1,1,0,3,7,5,5,1,13,3
