"","B cells","Basal epithelial","CD4 T cells (Th)","CD8 T cells (CTL)","Endothelial cells","Epithelial cells","Fibroblasts","Mast cells","Monocytes","Myeloid (Mac/DC)","NK cells","PDC/Plasma cells","Pericytes","TNK cells","Tregs"
"B cells",0,0,0.00052025185301768,0.00850803320227044,0,0.000128398899014255,3.53436480311917e-05,0,0,0.000380583003754974,0.000384082326968304,2.44989345170211e-06,0.000124861572525981,0.000728576063260806,0
"Basal epithelial",0.00030977474281546,0.00026577438860034,0.000592313982450484,0.00637844270813155,0.000610765487171754,0.000409592622253417,0.000148670682059448,1.45826816076371e-05,0.00025047308784679,0.000955371352158118,0.000446800593720879,1.91217135874269e-05,0.000328633890000049,0.000675294569082871,0.000203824632134266
"CD4 T cells (Th)",0.000372595672370342,0,0.00430347862322087,0.0460738190723696,0.000732411070731001,0.000533425729614633,0.000289002580896678,0,0.000443471639599047,0.00101770933607241,0.00285215832089848,1.68857837321044e-05,0.000948943579454698,0.00463683020449736,0.00027502258095934
"CD8 T cells (CTL)",0.000623137873259394,0.000259137894299142,0.0118348381899511,0.0800722389495995,0.00208240884207769,0.00108691436256324,0.000582659291484087,0,0.000829353223780763,0.0023102020747699,0.00634714388354198,6.04410931025086e-05,0.00193023897565859,0.00796177581519968,0.000687669006536697
"Endothelial cells",0.000826023543067065,0.000498941424542311,0.0020422031136399,0.0264395126841167,0.00268045625721146,0.00131822313502766,0.000342816196886215,0.000151963039185605,0.000722464456812694,0.00330851505325788,0.00140361666243545,6.53624358049111e-05,0.00110304225108426,0.00337492374559329,0.00045789558087345
"Epithelial cells",0.000730093000653812,0.000572923187777498,0.00145299449783485,0.0127283044188509,0.00181309642423743,0.00148290339792842,0.000399018622593075,3.15566378221368e-05,0.000571386379881857,0.00218997717627702,0.000969934829279356,4.46972308630699e-05,0.000732158982742113,0.00171326239385247,0.000504498554568331
"Fibroblasts",0.000212265009299417,0.000288473260767219,0.00119627753958378,0.00409292448403322,0.000483547394366522,0.00049244230398426,0.000142926717929565,0.000166733784610491,0.000271719175082022,0.0006293694090394,0.00037856439453781,1.46192162772129e-05,0.000476448387057289,0.000792598516068609,0.0002781206231086
"Mast cells",6.48081041970101e-05,0,0.000727823646345873,0.00460868463434808,3.43509396144597e-05,9.07707228253069e-05,2.50027772793199e-05,0,8.25300172346246e-05,0.000167852890638448,0.000377715882225066,3.14202199756475e-06,8.83039071717683e-05,0.000322266316160558,5.41627633917715e-05
"Monocytes",9.44770972667448e-05,7.61709299805158e-05,0.000355580614743311,0.00725624873728126,0.00027408935017444,0.000297525606603848,4.44822916315725e-05,1.37092064762601e-05,8.70299708083093e-05,0.000476421650533732,0.000285073093101869,7.16659634966916e-06,0.00013091519311867,0.000707967562265372,5.49219602733416e-05
"Myeloid (Mac/DC)",0.000132138374736913,0.000115679890741695,0.00126698428330975,0.0226173809677165,0.00059350039448152,0.000513172486153582,0.000124499696183603,3.79928745121019e-05,0.000222154950604717,0.00231347422894475,0.00111291492125048,1.55740641041524e-05,0.000436978843846542,0.00213874971851694,0.000224056107467864
"NK cells",0.000108075203256933,4.21831840979814e-05,0.00176620874640653,0.0150392239983252,0.000345830625296324,0.000365090413065377,0.000107270185447251,0,0.000133718600819384,0.000378508966209334,0.00104288815243549,1.1230462641532e-05,0.000352532924809683,0.00153046320310266,6.43099565636398e-05
"PDC/Plasma cells",1.07676851696495e-05,4.70175753514241e-06,1.754404056586e-06,0.000490778997927248,2.89584255486744e-05,1.52086999031147e-05,6.42135202884132e-06,0,6.2112850193177e-06,4.82673060066489e-05,1.92951679853321e-05,6.8717208505694e-07,1.91648491141809e-05,5.97282723267113e-05,3.80734671596591e-06
"Pericytes",0.000743140259320115,0.000645525960376048,0.00252592957634931,0.0155967578087767,0.00166985309393698,0.00102570358328799,0.000328977779681219,0.000282556758264986,0.000762140294073763,0.00223054849055252,0.00102777529679381,5.26644216046135e-05,0.00110972559666442,0.0024781410576348,0.000671180847955822
"TNK cells",0.000154492324174743,0,0.00251139929212428,0.0194448517760981,0.000307041732921069,0.000407604841039993,0.000125113769488858,0,0.000178817003517075,0.0005537681128135,0.00132298839863846,1.51479240244655e-05,0.000408403913892532,0.0019740894042583,0.000202893130944619
"Tregs",9.67770190215387e-05,0,0.000774322986934162,0.0109289279527912,2.49352347071404e-05,0.000132921188717569,3.65494730746537e-05,0,7.82208274392281e-05,0.000276437568176593,0.00050819852762652,4.60222316836007e-06,0.000129180709035175,0.00106990573514121,7.41150620383403e-05
