"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Epithelial cells","Endothelial cells","GDF15","TGFBR2",2.1412443484685e-05,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350","adjacent_HG"
"Fibroblasts","Fibroblasts","FGF7","FGFR1",1.33245917687588e-06,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358","adjacent_HG"
"Mast cells","Endothelial cells","VEGFA","FLT1",1.70844018739404e-05,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Monocytes","Endothelial cells","VEGFA","FLT1",5.24405211329849e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Mast cells","Endothelial cells","VEGFA","KDR",1.24501728779957e-05,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Monocytes","Endothelial cells","VEGFA","KDR",3.82088933436236e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Fibroblasts","Endothelial cells","PGF","FLT1",1.64921030565973e-05,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Pericytes","Endothelial cells","PGF","FLT1",1.46663646673625e-05,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_HG"
"Mast cells","Endothelial cells","VEGFA","FLT1_KDR",1.49430098603872e-05,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","adjacent_HG"
"Monocytes","Endothelial cells","VEGFA","FLT1_KDR",4.58637110974581e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","adjacent_HG"
"CD4 T cells (Th)","CD4 T cells (Th)","CCL20","CCR6",0.000393977486636073,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Monocytes","CD4 T cells (Th)","CCL20","CCR6",5.6007520420711e-05,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"CD4 T cells (Th)","Tregs","CCL20","CCR6",5.86867940953125e-05,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Monocytes","Tregs","CCL20","CCR6",8.35848558752975e-06,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","B cells","CXCL12","CXCR4",0.000128585236655397,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","CD4 T cells (Th)","CXCL12","CXCR4",0.000456827717134933,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","CD8 T cells (CTL)","CXCL12","CXCR4",0.000394612943922535,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","Epithelial cells","CXCL12","CXCR4",6.33948521283962e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","Monocytes","CXCL12","CXCR4",1.66262651348016e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","Myeloid (Mac/DC)","CXCL12","CXCR4",5.49249371169031e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","NK cells","CXCL12","CXCR4",6.11681589398325e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","PDC/Plasma cells","CXCL12","CXCR4",1.20444880336166e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","TNK cells","CXCL12","CXCR4",0.000117555655111705,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Fibroblasts","Tregs","CXCL12","CXCR4",8.72632649482817e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Mast cells","CD4 T cells (Th)","CXCL16","CXCR6",6.63157815118745e-05,0,"CXCL16_CXCR6","CXCL16 - CXCR6","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Monocytes","CD4 T cells (Th)","CXCL16","CXCR6",1.67997086001007e-05,0,"CXCL16_CXCR6","CXCL16 - CXCR6","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"Myeloid (Mac/DC)","CD4 T cells (Th)","CXCL16","CXCR6",0.000202821168001282,0,"CXCL16_CXCR6","CXCL16 - CXCR6","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_HG"
"B cells","B cells","MIF","CD74_CXCR4",0.000285481490259105,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Basal epithelial","B cells","MIF","CD74_CXCR4",0.000288815519566852,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"CD4 T cells (Th)","B cells","MIF","CD74_CXCR4",0.000997803336322842,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"CD8 T cells (CTL)","B cells","MIF","CD74_CXCR4",0.000915027393421909,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Endothelial cells","B cells","MIF","CD74_CXCR4",0.000266213049576516,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Epithelial cells","B cells","MIF","CD74_CXCR4",0.000437957407483266,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Fibroblasts","B cells","MIF","CD74_CXCR4",0.000161465836331156,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Mast cells","B cells","MIF","CD74_CXCR4",0.00016522609322099,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Monocytes","B cells","MIF","CD74_CXCR4",5.93097195679403e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Myeloid (Mac/DC)","B cells","MIF","CD74_CXCR4",0.000112736347531527,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"NK cells","B cells","MIF","CD74_CXCR4",0.000154471254181386,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"PDC/Plasma cells","B cells","MIF","CD74_CXCR4",7.8724045986657e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Pericytes","B cells","MIF","CD74_CXCR4",0.000174672519772902,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"TNK cells","B cells","MIF","CD74_CXCR4",0.000256677263103965,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Tregs","B cells","MIF","CD74_CXCR4",0.000238051840686043,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Basal epithelial","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000361960824394571,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Epithelial cells","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000551844921829761,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Fibroblasts","CD4 T cells (Th)","MIF","CD74_CXCR4",0.000197925407459186,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"PDC/Plasma cells","CD4 T cells (Th)","MIF","CD74_CXCR4",9.62671880116719e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Basal epithelial","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000296299396058212,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
"Epithelial cells","CD8 T cells (CTL)","MIF","CD74_CXCR4",0.000451756583215266,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","adjacent_HG"
