"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Fibroblasts","Fibroblasts","FGF7","FGFR1",1.46782820166617e-07,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358","adjacent_LG"
"Mast cells","Endothelial cells","VEGFA","FLT1",7.20168728195921e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Monocytes","Endothelial cells","VEGFA","FLT1",2.29637046564836e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","FLT1",3.18725793877326e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Mast cells","Endothelial cells","VEGFA","KDR",5.66145044280202e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Monocytes","Endothelial cells","VEGFA","KDR",1.80463325733585e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","KDR",2.50449144641302e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Fibroblasts","Endothelial cells","PGF","FLT1",8.9993770642814e-07,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Pericytes","Endothelial cells","PGF","FLT1",4.84266138278506e-06,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","adjacent_LG"
"Mast cells","Endothelial cells","VEGFA","FLT1_KDR",6.54227138786174e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","adjacent_LG"
"Monocytes","Endothelial cells","VEGFA","FLT1_KDR",2.08580423701664e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","adjacent_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","FLT1_KDR",2.89487408635148e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","adjacent_LG"
"Monocytes","Tregs","CCL20","CCR6",7.59616639753504e-06,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","adjacent_LG"
"Fibroblasts","B cells","CXCL12","CXCR4",1.48307903501611e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_LG"
"Fibroblasts","Basal epithelial","CXCL12","CXCR4",2.58221189381129e-07,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","adjacent_LG"
