"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Epithelial cells","Endothelial cells","GDF15","TGFBR2",3.62716888738633e-05,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350","normal"
"Fibroblasts","Fibroblasts","FGF7","FGFR1",1.47076853831435e-07,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358","normal"
"Fibroblasts","B cells","CXCL12","CXCR4",1.32846251394688e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","CD4 T cells (Th)","CXCL12","CXCR4",4.88674259865528e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","CD8 T cells (CTL)","CXCL12","CXCR4",4.40371742712955e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","Monocytes","CXCL12","CXCR4",2.58282722166075e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","Myeloid (Mac/DC)","CXCL12","CXCR4",6.59394880509238e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","NK cells","CXCL12","CXCR4",6.40388418061941e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","PDC/Plasma cells","CXCL12","CXCR4",8.55995327452216e-07,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","TNK cells","CXCL12","CXCR4",1.90298522305321e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
"Fibroblasts","Tregs","CXCL12","CXCR4",7.90516625099381e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","normal"
