"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Epithelial cells","Endothelial cells","GDF15","TGFBR2",2.64471485290496e-05,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350","tumor_HG"
"Mast cells","Endothelial cells","VEGFA","FLT1",1.26574160884915e-05,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Monocytes","Endothelial cells","VEGFA","FLT1",5.39520809360818e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Mast cells","Endothelial cells","VEGFA","KDR",8.83117812662624e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Monocytes","Endothelial cells","VEGFA","KDR",3.76392515445306e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Fibroblasts","Endothelial cells","PGF","FLT1",1.61160537063842e-05,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Pericytes","Endothelial cells","PGF","FLT1",1.82481815850256e-05,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_HG"
"Mast cells","Endothelial cells","VEGFA","FLT1_KDR",1.08278289238652e-05,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_HG"
"Monocytes","Endothelial cells","VEGFA","FLT1_KDR",4.61514143171841e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_HG"
"Fibroblasts","PDC/Plasma cells","CXCL13","CXCR3",4.79284909383796e-07,0,"CXCL13_CXCR3","CXCL13 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
"Fibroblasts","B cells","CXCL12","CXCR4",4.53247202242622e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
"Fibroblasts","CD4 T cells (Th)","CXCL12","CXCR4",0.000178464243089967,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
"Fibroblasts","CD8 T cells (CTL)","CXCL12","CXCR4",0.000171650633912935,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
"Fibroblasts","Monocytes","CXCL12","CXCR4",7.14734770919046e-06,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
"Fibroblasts","Myeloid (Mac/DC)","CXCL12","CXCR4",3.04133373414369e-05,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","tumor_HG"
