"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Epithelial cells","Endothelial cells","GDF15","TGFBR2",0.000197042816591758,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350","tumor_LG"
"Fibroblasts","Fibroblasts","FGF7","FGFR1",8.29483999542168e-07,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358","tumor_LG"
"Pericytes","Fibroblasts","PDGFA","PDGFRA",1.99170299892134e-06,0,"PDGFA_PDGFRA","PDGFA - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812","tumor_LG"
"Pericytes","Fibroblasts","PDGFA","PDGFRB",1.22487349087505e-06,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812","tumor_LG"
"Pericytes","Pericytes","PDGFA","PDGFRB",2.68310591388214e-05,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812","tumor_LG"
"Epithelial cells","Endothelial cells","VEGFA","FLT1",8.69225336071977e-06,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Mast cells","Endothelial cells","VEGFA","FLT1",1.35260377743996e-05,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Monocytes","Endothelial cells","VEGFA","FLT1",1.19253399482181e-05,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","FLT1",2.20520637003547e-05,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Epithelial cells","Endothelial cells","VEGFA","KDR",5.97818812164361e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Mast cells","Endothelial cells","VEGFA","KDR",9.31601881990532e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Monocytes","Endothelial cells","VEGFA","KDR",8.2110258010846e-06,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","KDR",1.51742937193106e-05,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Pericytes","Endothelial cells","PGF","FLT1",6.43800531342533e-05,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","tumor_LG"
"Epithelial cells","Endothelial cells","VEGFA","FLT1_KDR",7.39088689835063e-06,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_LG"
"Mast cells","Endothelial cells","VEGFA","FLT1_KDR",1.15088830201548e-05,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_LG"
"Monocytes","Endothelial cells","VEGFA","FLT1_KDR",1.01454091060877e-05,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_LG"
"Myeloid (Mac/DC)","Endothelial cells","VEGFA","FLT1_KDR",1.87551211253665e-05,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338","tumor_LG"
"Monocytes","CD4 T cells (Th)","CCL20","CCR6",2.24477934675697e-05,0,"CCL20_CCR6","CCL20 - CCR6","CCL","Secreted Signaling","KEGG: hsa04060","tumor_LG"
